year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,,,,,,,,,
2035,2010,SFBayDelta,SWP_SFBayDelta,1577162.98,0,0,0,,2035SFBayDeltaSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,SW1802SWP02,SWPR_Feather,1577162.98,0,0,0,,2035SW1802SWP02SWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,Lk_OrovilleSWP,SW1802SWP01,1568954.55,0,0,0,,2030Lk_OrovilleSWPSW1802SWP01,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,SW1802SWP01,SW1802SWP02,1568954.55,0,0,0,,2030SW1802SWP01SW1802SWP02,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,R_Feather,SWPR_Feather,1559981.06,0,0,0,,2030R_FeatherSWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,SWPR_Feather,SWPR_Sacramento,1559981.06,0,0,0,,2030SWPR_FeatherSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,R_Sacramento,SWPR_Sacramento,1559981.06,0,0,0,,2030R_SacramentoSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,SWPR_Sacramento,SWP_SFBayDelta,1559981.06,0,0,0,,2030SWPR_SacramentoSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,SFBayDelta,SWP_SFBayDelta,1559981.06,0,0,0,,2030SFBayDeltaSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,SW1802SWP02,SWPR_Feather,1559981.06,0,0,0,,2030SW1802SWP02SWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,Lk_OrovilleSWP,SW1802SWP01,1556837.276,0,0,0,,2025Lk_OrovilleSWPSW1802SWP01,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,SW1802SWP01,SW1802SWP02,1556837.276,0,0,0,,2025SW1802SWP01SW1802SWP02,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,R_Feather,SWPR_Feather,1549033.981,0,0,0,,2025R_FeatherSWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
