year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,linkID,Ratio lo/med,med trans,med treatment,,lo,,hi,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,HI linkID,ratio hi/med,med trans,med treatment,,Med,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,medlinkID
2025,2010,GW1807-8-01,1807246GW,295280.0615,579,0,0,2025GW1807-8-011807246GW,1,579,0,,,,,2025,2010,SW1805081SYS,SW1805081EB,424338.0072,0.7,0,0,2025SW1805081SYSSW1805081EB,1,0.7,0,,,2025,2010,R_American,R_Sacramento,6152407.018,0,0,0,2025R_AmericanR_Sacramento
2030,2010,SW1805081EB,SW1805081PEN,294076.8636,113.2,0,0,2030SW1805081EBSW1805081PEN,1,113.2,0,,,,,2020,2010,SW1805081SYS,SW1805081EB,414479.0275,0.7,0,0,2020SW1805081SYSSW1805081EB,1,0.7,0,,,2025,2010,R_Feather,R_Sacramento,6152407.018,0,0,0,2025R_FeatherR_Sacramento
2035,2010,SW1805081EB,SW1805081PEN,293470.5913,113.2,0,0,2035SW1805081EBSW1805081PEN,1,113.2,0,,,,,2015,2010,SW1805081SYS,SW1805081EB,411941.9792,0.7,0,0,2015SW1805081SYSSW1805081EB,1,0.7,0,,,2020,2010,CVPR_Sacramento,R_Sacramento,6070823.646,0,0,0,2020CVPR_SacramentoR_Sacramento
2015,2010,SW1805081EB,SW1805081PEN,291293.8776,113.2,0,0,2015SW1805081EBSW1805081PEN,1,113.2,0,,,,,2010,2010,SW1805081SYS,SW1805081EB,378262.4986,0.7,0,0,2010SW1805081SYSSW1805081EB,1,0.7,0,,,2020,2010,R_American,R_Sacramento,6070823.646,0,0,0,2020R_AmericanR_Sacramento
2025,2010,SW1805081EB,SW1805081PEN,290441.4696,113.2,0,0,2025SW1805081EBSW1805081PEN,1,113.2,0,,,,,2035,2010,GW1807-8-01,1807246GW,302359.7909,579,0,0,2035GW1807-8-011807246GW,1,579,0,,,2020,2010,R_Feather,R_Sacramento,6070823.646,0,0,0,2020R_FeatherR_Sacramento
2020,2010,SW1805081EB,SW1805081PEN,287108.204,113.2,0,0,2020SW1805081EBSW1805081PEN,1,113.2,0,,,,,2030,2010,GW1807-8-01,1807246GW,300203.1314,579,0,0,2030GW1807-8-011807246GW,1,579,0,,,2015,2010,CVPR_Sacramento,R_Sacramento,6020911.678,0,0,0,2015CVPR_SacramentoR_Sacramento
2020,2010,GW1807-8-01,1807246GW,286767.0629,579,0,0,2020GW1807-8-011807246GW,1,579,0,,,,,2025,2010,GW1807-8-01,1807246GW,295280.0615,579,0,0,2025GW1807-8-011807246GW,1,579,0,,,2015,2010,R_American,R_Sacramento,6020911.678,0,0,0,2015R_AmericanR_Sacramento
2010,2010,SW1805081EB,SW1805081PEN,283740.723,113.2,0,0,2010SW1805081EBSW1805081PEN,1,113.2,0,,,,,2030,2010,SW1805081EB,SW1805081PEN,294076.8636,113.2,0,0,2030SW1805081EBSW1805081PEN,1,113.2,0,,,2015,2010,R_Feather,R_Sacramento,6020911.678,0,0,0,2015R_FeatherR_Sacramento
2015,2010,GW1807-8-01,1807246GW,282304.3688,579,0,0,2015GW1807-8-011807246GW,1,579,0,,,,,2035,2010,SW1805081EB,SW1805081PEN,293470.5913,113.2,0,0,2035SW1805081EBSW1805081PEN,1,113.2,0,,,2010,2010,R_AmericanMFRK,R_AmericanNFRK,5994474.873,0,0,0,2010R_AmericanMFRKR_AmericanNFRK
2035,2010,1805089PD,1805089E,276852.5,318.2,0,0,20351805089PD1805089E,1,318.2,0,,,,,2015,2010,SW1805081EB,SW1805081PEN,291293.8776,113.2,0,0,2015SW1805081EBSW1805081PEN,1,113.2,0,,,2010,2010,LK_ShastaCVP,CVPR_Sacramento,5845985.168,0,0,0,2010LK_ShastaCVPCVPR_Sacramento
2030,2010,1805089PD,1805089E,265475,318.2,0,0,20301805089PD1805089E,1,318.2,0,,,,,2025,2010,SW1805081EB,SW1805081PEN,290441.4696,113.2,0,0,2025SW1805081EBSW1805081PEN,1,113.2,0,,,2010,2010,R_AmericanNFRK,R_American,5766879.064,0,0,0,2010R_AmericanNFRKR_American
2010,2010,GW1807-8-01,1807246GW,258419.609,579,0,0,2010GW1807-8-011807246GW,1,579,0,,,,,2020,2010,SW1805081EB,SW1805081PEN,287108.204,113.2,0,0,2020SW1805081EBSW1805081PEN,1,113.2,0,,,2010,2010,R_AmericanSFRK,R_American,5766879.064,0,0,0,2010R_AmericanSFRKR_American
2025,2010,1805089PD,1805089E,254097.5,318.2,0,0,20251805089PD1805089E,1,318.2,0,,,,,2020,2010,GW1807-8-01,1807246GW,286767.0629,579,0,0,2020GW1807-8-011807246GW,1,579,0,,,2010,2010,CVPR_Sacramento,R_Sacramento,5682789.231,0,0,0,2010CVPR_SacramentoR_Sacramento
2035,2010,1807229PD,1807229E,251564.82,163.1,0,0,20351807229PD1807229E,1,163.1,0,,,,,2010,2010,SW1805081EB,SW1805081PEN,283740.723,113.2,0,0,2010SW1805081EBSW1805081PEN,1,113.2,0,,,2010,2010,R_American,R_Sacramento,5682789.231,0,0,0,2010R_AmericanR_Sacramento
2020,2010,1805089PD,1805089E,246415,318.2,0,0,20201805089PD1805089E,1,318.2,0,,,,,2015,2010,GW1807-8-01,1807246GW,282304.3688,579,0,0,2015GW1807-8-011807246GW,1,579,0,,,2010,2010,R_Feather,R_Sacramento,5682789.231,0,0,0,2010R_FeatherR_Sacramento
2015,2010,1805089PD,1805089E,233368,318.2,0,0,20151805089PD1805089E,1,318.2,0,,,,,2035,2010,1805089PD,1805089E,276852.5,318.2,0,0,20351805089PD1805089E,1,318.2,0,,,2035,2010,R_Sacramento,SFBayDelta,3327896.558,0,0,0,2035R_SacramentoSFBayDelta
2035,2010,1810013PD,1810013E,232992,17.6,0,0,20351810013PD1810013E,1,17.6,0,,,,,2030,2010,1805089PD,1805089E,265475,318.2,0,0,20301805089PD1805089E,1,318.2,0,,,2030,2010,R_Sacramento,SFBayDelta,3290768.614,0,0,0,2030R_SacramentoSFBayDelta
2035,2010,1807309PD,1807309E,217289.2,163.1,0,0,20351807309PD1807309E,1,163.1,0,,,,,2010,2010,GW1807-8-01,1807246GW,258419.609,579,0,0,2010GW1807-8-011807246GW,1,579,0,,,2025,2010,R_Sacramento,SFBayDelta,3250807.796,0,0,0,2025R_SacramentoSFBayDelta
2030,2010,1807229PD,1807229E,214095.15,163.1,0,0,20301807229PD1807229E,1,163.1,0,,,,,2025,2010,1805089PD,1805089E,254097.5,318.2,0,0,20251805089PD1805089E,1,318.2,0,,,2020,2010,R_Sacramento,SFBayDelta,3200263.664,0,0,0,2020R_SacramentoSFBayDelta
2035,2010,1807307PD,1807307E,213104.37,163.1,0,0,20351807307PD1807307E,1,163.1,0,,,,,2035,2010,1807229PD,1807229E,251564.82,163.1,0,0,20351807229PD1807229E,1,163.1,0,,,2015,2010,R_Sacramento,SFBayDelta,3164615.16,0,0,0,2015R_SacramentoSFBayDelta
2010,2010,1805089PD,1805089E,206190,318.2,0,0,20101805089PD1805089E,1,318.2,0,,,,,2020,2010,1805089PD,1805089E,246415,318.2,0,0,20201805089PD1805089E,1,318.2,0,,,2010,2010,R_Sacramento,SFBayDelta,2952161.459,0,0,0,2010R_SacramentoSFBayDelta
2030,2010,1807309PD,1807309E,205049.6,163.1,0,0,20301807309PD1807309E,1,163.1,0,,,,,2015,2010,1805089PD,1805089E,233368,318.2,0,0,20151805089PD1805089E,1,318.2,0,,,2035,2010,Lk_OrovilleSWP,SW1802SWP01,2949351.708,0,0,0,2035Lk_OrovilleSWPSW1802SWP01
2030,2010,1807307PD,1807307E,204940.08,163.1,0,0,20301807307PD1807307E,1,163.1,0,,,,,2035,2010,1810013PD,1810013E,232992,17.6,0,0,20351810013PD1810013E,1,17.6,0,,,2035,2010,SW1802SWP01,SW1802SWP02,2949351.708,0,0,0,2035SW1802SWP01SW1802SWP02
2030,2010,1810013PD,1810013E,203520,17.6,0,0,20301810013PD1810013E,1,17.6,0,,,,,2035,2010,1807309PD,1807309E,217289.2,163.1,0,0,20351807309PD1807309E,1,163.1,0,,,2035,2010,R_Feather,SWPR_Feather,2939260.809,0,0,0,2035R_FeatherSWPR_Feather
2025,2010,1807055PD,1807055E,202735.6,163.1,0,0,20251807055PD1807055E,1,163.1,0,,,,,2030,2010,1807229PD,1807229E,214095.15,163.1,0,0,20301807229PD1807229E,1,163.1,0,,,2035,2010,SWPR_Feather,SWPR_Sacramento,2939260.809,0,0,0,2035SWPR_FeatherSWPR_Sacramento
2030,2010,1807055PD,1807055E,202735.6,163.1,0,0,20301807055PD1807055E,1,163.1,0,,,,,2035,2010,1807307PD,1807307E,213104.37,163.1,0,0,20351807307PD1807307E,1,163.1,0,,,2035,2010,R_Sacramento,SWPR_Sacramento,2939260.809,0,0,0,2035R_SacramentoSWPR_Sacramento
2035,2010,1807055PD,1807055E,202735.6,163.1,0,0,20351807055PD1807055E,1,163.1,0,,,,,2010,2010,1805089PD,1805089E,206190,318.2,0,0,20101805089PD1805089E,1,318.2,0,,,2035,2010,SWPR_Sacramento,SWP_SFBayDelta,2939260.809,0,0,0,2035SWPR_SacramentoSWP_SFBayDelta
2015,2010,RES1805031,1805031PD,201600,152.545098,72.6,0,2015RES18050311805031PD,1,152.545098,72.6,,,,,2030,2010,1807309PD,1807309E,205049.6,163.1,0,0,20301807309PD1807309E,1,163.1,0,,,2035,2010,SFBayDelta,SWP_SFBayDelta,2939260.809,0,0,0,2035SFBayDeltaSWP_SFBayDelta
2025,2010,1807309PD,1807309E,201213.18,163.1,0,0,20251807309PD1807309E,1,163.1,0,,,,,2030,2010,1807307PD,1807307E,204940.08,163.1,0,0,20301807307PD1807307E,1,163.1,0,,,2035,2010,SW1802SWP02,SWPR_Feather,2939260.809,0,0,0,2035SW1802SWP02SWPR_Feather
2015,2010,1807055PD,1807055E,199958.4,163.1,0,0,20151807055PD1807055E,1,163.1,0,,,,,2030,2010,1810013PD,1810013E,203520,17.6,0,0,20301810013PD1810013E,1,17.6,0,,,2030,2010,Lk_OrovilleSWP,SW1802SWP01,2919455.555,0,0,0,2030Lk_OrovilleSWPSW1802SWP01
